"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,41981379,135880901,1,28-DEC-20,2,"N",40,5,15,"M",2,3,"U","R","",15,0
2020,41981380,135880901,2,22-JAN-21,3,"N",40,5,17,"M",2,3,"R","R","",17,0
2020,41981534,135887190,1,19-JAN-21,3,"N",49,5,62,"M",2,3,"N","","",62,0
2020,41981386,135880931,1,09-FEB-21,2,"N",16,5,27,"M",1,3,"N","","",27,0
2020,41985114,135880939,1,28-DEC-20,3,"N",40,5,22,"M",1,1,"R","","",22,0
2020,41985064,135880563,1,03-FEB-21,3,"N",27,5,84,"M",4,2,"R","","",84,0
2020,41981377,135880883,1,10-FEB-21,1,"N",36,5,36,"M",4,3,"R","","",36,0
2020,41981343,135880720,2,01-NOV-20,1,"N",27,5,18,"M",1,3,"U","","",18,0
2020,41981342,135880720,1,31-OCT-20,2,"N",27,5,20,"M",1,1,"U","","",20,0
2020,41985092,135880737,1,15-JAN-21,3,"N",51,5,18,"F",1,1,"R","","",18,0
2020,41981371,135880844,1,02-DEC-20,1,"N",40,5,19,"M",2,2,"U","","",19,0
2020,41981472,135886724,1,19-FEB-21,2,"N",47,5,22,"M",1,3,"U","","",22,0
2020,41985227,135882888,1,30-JUN-20,3,"N",16,5,37,"M",2,2,"U","","",37,0
2020,38057536,123094435,1,01-MAR-20,2,"N",16,5,20,"M",2,2,"N","","",20,0
2020,38060373,123094472,1,01-FEB-20,1,"N",51,5,22,"M",2,3,"U","","",22,0
2020,38060374,123094472,2,01-FEB-20,1,"N",16,5,29,"F",2,3,"U","","",29,0
2020,38060396,123097926,1,07-JAN-20,1,"N",39,5,17,"M",2,2,"N","R","",17,0
2020,38060397,123097926,2,07-JAN-20,2,"N",16,5,18,"M",1,1,"N","","",18,0
2020,38060407,123094556,1,17-JAN-20,3,"N",49,5,38,"M",1,3,"N","","",38,0
2020,38057547,123094562,1,02-MAR-20,3,"N",40,5,21,"F",1,3,"U","","",21,0
2020,38057553,123097963,1,02-MAR-20,1,"N",23,5,22,"M",2,2,"N","","",22,0
2020,38060422,123094623,1,02-MAR-20,3,"N",51,5,24,"F",1,3,"U","","",24,0
2020,38060546,123095037,1,27-FEB-20,1,"N",23,5,18,"F",2,2,"R","","",18,0
2020,38060549,123095038,2,26-FEB-20,2,"N",16,5,25,"F",2,3,"U","","",25,0
2020,38060548,123095038,1,26-FEB-20,1,"N",16,5,20,"F",2,3,"U","","",20,0
2020,38060550,123095039,1,28-FEB-20,1,"N",5,5,14,"M",1,2,"U","R","",14,0
2020,38060552,123095044,1,28-FEB-20,2,"N",16,5,36,"M",1,2,"U","","",36,0
2020,38060553,123095044,2,28-FEB-20,2,"N",16,5,29,"M",1,3,"U","","",29,0
2020,38060554,123095047,1,09-MAR-20,1,"N",23,5,56,"M",2,2,"U","","",56,0
2020,38060555,123095051,1,28-FEB-20,2,"N",23,5,19,"M",4,3,"R","","",19,0
2020,38060557,123095057,1,09-MAR-20,1,"N",23,5,18,"F",2,3,"N","","",18,0
2020,38057740,123098454,1,28-FEB-20,2,"N",16,5,19,"F",2,3,"U","","",19,0
2020,38057741,123098454,2,28-FEB-20,2,"N",16,5,18,"F",2,3,"U","","",18,0
2020,38060559,123095071,1,06-MAR-20,1,"N",16,5,51,"M",1,1,"R","","",51,0
2020,38060560,123095072,1,09-MAR-20,2,"N",16,5,20,"F",1,1,"U","","",20,0
2020,38060561,123095072,2,09-MAR-20,2,"N",16,5,20,"M",1,1,"U","","",20,0
2020,38057749,123095079,1,10-MAR-20,3,"N",51,5,59,"M",2,2,"R","","",59,0
2020,38060563,123095081,1,29-FEB-20,2,"N",23,5,26,"M",2,2,"U","","",26,0
2020,38060566,123095088,1,11-MAR-20,2,"N",16,5,24,"M",1,3,"N","","",24,0
2020,38060568,123095097,1,29-FEB-20,2,"N",23,5,48,"M",2,2,"U","","",48,0
2020,38060569,123095098,1,12-MAR-20,1,"N",21,5,14,"F",2,2,"U","R","",14,0
2020,38060570,123095098,2,12-MAR-20,1,"N",21,5,19,"M",2,3,"U","","",19,0
2020,38060571,123095109,1,29-FEB-20,1,"N",23,5,55,"M",2,2,"N","","",55,0
2020,38057758,123098496,1,11-MAR-20,2,"N",16,5,24,"F",2,3,"U","","",24,0
2020,38060572,123095116,1,11-MAR-20,1,"N",23,5,17,"F",2,2,"U","R","",17,0
2020,38060573,123095116,2,11-MAR-20,1,"N",23,5,17,"F",2,2,"U","R","",17,0
2020,38060574,123095117,1,29-FEB-20,2,"N",16,5,35,"M",1,3,"N","","",35,0
2020,38060575,123095118,1,11-MAR-20,1,"N",16,5,31,"F",1,2,"R","","",31,0
2020,38060576,123095119,1,27-MAR-20,3,"N",27,5,24,"M",2,1,"U","","",24,0
2020,38060577,123095121,1,11-MAR-20,1,"M",23,5,25,"M",2,2,"U","","",25,0
2020,38060579,123095123,1,11-MAR-20,1,"N",16,5,19,"M",1,1,"R","","",19,0
