"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2020,39270848,1,39487020
2020,39270856,1,39491266
2020,39270873,1,39491289
2020,39266572,1,39487060
2020,39266599,1,39491321
2020,39270958,3,39487136
2020,38563984,1,38644309
2020,38563999,1,38644324
2020,38564048,1,38644374
2020,38564068,1,38644396
2020,38564067,1,38644395
2020,38564080,1,38648691
2020,38568102,1,38644415
2020,38568106,1,38644419
2020,38568143,1,38648734
2020,38564144,3,38648758
2020,38563991,7,38644316
2020,38564039,1,38644366
2020,38568107,1,38648697
2020,38564094,1,38644429
2020,38564117,1,38644449
2020,38563990,1,38644315
2020,38564013,1,38644338
2020,38568031,1,38648630
2020,38564041,7,38644368
2020,38564056,1,38644384
2020,38568074,1,38644383
2020,38568116,1,38644425
2020,38564115,1,38644447
2020,38564131,1,38648742
2020,39266547,1,39487039
2020,39266584,1,39491311
2020,39270913,1,39491327
2020,39270918,3,39491331
2020,39270927,1,39487101
2020,39266613,3,39487103
2020,39266614,3,39487104
2020,39266714,1,39491420
2020,39271007,1,39491419
2020,39266792,22,39487285
2020,39266858,3,39487352
2020,39271082,1,39491492
2020,39266865,3,39487360
2020,39266868,1,39487363
2020,39266867,1,39487362
2020,39271084,1,39487364
2020,39266912,1,39487407
2020,39266913,1,39487408
2020,39266951,1,39491539
2020,39266971,1,39487466
2020,39271161,1,39491575
2020,38563972,1,38644297
2020,38564009,1,38644333
2020,38568029,1,38648628
2020,38564023,1,38648644
2020,38568046,1,38648643
2020,38564031,1,38644358
2020,38564085,1,38648695
2020,38564098,1,38644432
2020,38564106,1,38644441
2020,38564105,1,38648711
2020,38564108,1,38648712
2020,38564114,1,38644446
2020,38568132,1,38648722
2020,38564129,1,38648736
2020,38568151,1,38648740
2020,38564130,1,38648739
2020,38568150,1,38648738
2020,38568149,1,38648737
2020,38568166,1,38648756
2020,38568165,1,38648755
2020,38564014,1,38644339
2020,38564020,1,38644346
2020,38564044,1,38644371
2020,38564046,1,38644373
2020,38568064,1,38648661
2020,38568062,1,38648659
2020,38568063,7,38648660
2020,38568076,1,38644387
2020,38568075,1,38644386
2020,38564086,1,38648698
2020,38568156,1,38648745
2020,38568172,7,38648762
2020,38564010,1,38644334
2020,38563979,1,38644305
2020,38563980,1,38644306
2020,38568054,1,38648651
2020,38568101,1,38648690
2020,38564097,7,38644431
2020,38564120,1,38644454
2020,39635384,1,39920843
