"DATA_YEAR","OFFENDER_ID","INCIDENT_ID","OFFENDER_SEQ_NUM","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,143783817,126500697,1,4,,"U",0,3,,
2020,143779756,126506102,1,4,,"U",0,3,,
2020,144286680,126958640,1,5,53,"F",2,2,53,0
2020,144283627,126958717,1,5,32,"M",2,2,30,35
2020,144283650,126958745,1,4,,"U",0,3,,
2020,144286768,126958767,1,4,,"U",0,3,,
2020,144283681,126958776,3,4,,"F",0,3,,
2020,144283682,126958776,4,4,,"F",0,3,,
2020,144286777,126958776,5,4,,"F",0,3,,
2020,144286775,126958776,2,4,,"F",0,3,,
2020,144286772,126958776,1,5,27,"F",2,2,27,0
2020,144283764,126958849,1,5,20,"U",0,3,20,0
2020,144283799,126958871,1,5,25,"F",1,1,25,0
2020,144283811,126955219,1,4,,"U",0,3,,
2020,144283824,126958891,1,4,,"U",0,3,,
2020,144283839,126958909,1,4,,"U",0,3,,
2020,144283860,126958930,1,4,,"U",0,3,,
2020,144283866,126958936,1,4,,"U",0,3,,
2020,144283910,126958972,1,5,30,"M",2,3,30,0
2020,144283920,126958985,1,4,,"U",0,3,,
2020,144286932,126958993,1,5,31,"F",2,2,31,0
2020,144286958,126959028,1,4,,"U",0,3,,
2020,144283975,126959039,1,5,13,"M",2,2,13,0
2020,144283993,126959053,1,4,,"U",0,3,,
2020,144286983,126959066,1,5,20,"M",2,2,20,0
2020,144284014,126959070,1,5,30,"M",2,2,30,0
2020,144284056,126959112,1,4,,"U",0,3,,
2020,144284086,126955373,1,5,19,"M",2,2,19,0
2020,144284099,126959148,1,4,,"U",0,3,,
2020,144284119,126959163,1,4,,"U",0,3,,
2020,144287093,126959179,1,5,25,"M",2,2,25,0
2020,144287111,126959200,2,5,20,"U",0,3,20,0
2020,144287110,126959200,1,5,20,"U",0,3,20,0
2020,144287119,126959215,1,5,23,"M",2,2,23,0
2020,144287181,126959279,1,5,22,"M",2,2,22,0
2020,144287190,126955485,1,5,29,"M",2,2,29,0
2020,144287227,126959317,1,5,33,"M",2,2,33,0
2020,144287242,126959331,1,5,22,"M",2,2,22,0
2020,144284311,126959338,1,5,53,"M",2,2,53,0
2020,144284309,126955534,1,4,,"U",0,2,,
2020,144284340,126959364,1,4,,"U",0,3,,
2020,144284343,126959369,1,4,,"U",0,3,,
2020,144287362,126959442,1,4,,"U",0,3,,
2020,144284443,126959450,1,5,25,"F",2,2,25,0
2020,144284491,126959501,1,4,,"U",0,3,,
2020,144287422,126959520,1,5,60,"F",1,2,60,0
2020,144284528,126959530,1,4,,"U",0,3,,
2020,144287446,126959537,1,5,25,"M",2,2,25,0
2020,144287447,126959537,2,5,20,"M",2,3,20,0
2020,144287465,126959546,1,5,17,"M",2,2,17,0
2020,144284557,126959554,1,5,30,"M",2,2,30,0
2020,144284558,126959554,2,4,,"U",2,3,,
2020,144287525,126955724,1,5,25,"M",2,2,20,30
2020,144284634,126959626,1,5,51,"M",1,2,51,0
2020,144284724,126959705,1,4,,"U",0,3,,
2020,144284727,126959711,1,4,,"U",0,3,,
2020,144287610,126959724,1,5,22,"M",2,2,18,26
2020,144287612,126959727,1,4,,"U",0,3,,
2020,144284957,126959881,1,4,,"U",0,3,,
2020,144290022,126959930,1,4,,"U",0,3,,
2020,144287788,126955982,1,5,36,"F",2,2,36,0
2020,144290089,126959987,1,4,,"U",0,3,,
2020,144290136,126960024,1,4,,"U",0,3,,
2020,144287892,126956081,1,4,,"U",0,3,,
2020,144290246,126956095,2,5,20,"M",3,2,20,0
2020,144287905,126956095,1,5,20,"M",2,2,20,0
2020,144290257,126960125,1,4,,"U",0,3,,
2020,144287911,126960132,1,4,,"F",1,3,,
2020,144290278,126960150,1,4,,"U",0,3,,
2020,144287926,126960159,1,4,,"U",0,3,,
2020,144290305,126961125,1,4,,"U",0,3,,
2020,144290326,126960198,1,5,30,"M",2,2,30,0
2020,144287976,126960225,1,5,29,"F",2,2,29,0
2020,144290376,126960231,1,5,33,"M",2,2,33,0
2020,144287995,126960255,1,4,,"U",0,3,,
2020,144290413,126961192,2,5,50,"M",2,2,50,0
2020,144290415,126961192,3,5,25,"M",2,2,20,30
2020,144290416,126961192,4,4,,"U",0,3,,
2020,144290417,126961192,5,5,27,"M",2,2,27,0
2020,144290412,126961192,1,5,50,"M",2,2,50,0
2020,144290429,126960268,1,4,,"U",0,3,,
2020,144290492,126961238,1,5,30,"F",2,2,30,0
2020,144290493,126961238,2,5,21,"F",2,2,21,0
2020,144288106,126960388,1,5,15,"M",2,2,15,0
2020,144290619,126960397,1,5,31,"M",2,2,31,0
2020,144290630,126960404,1,4,,"U",0,3,,
2020,144290673,126960446,1,4,,"U",0,3,,
2020,144290685,126961343,1,4,,"U",0,3,,
2020,144290706,126960476,1,4,,"U",0,3,,
2020,144288172,126961355,3,4,,"M",2,2,,
2020,144290713,126961355,2,4,,"M",2,2,,
2020,144288173,126961355,4,4,,"M",2,2,,
2020,144290712,126961355,1,4,,"M",2,2,,
2020,144288176,126961355,6,4,,"F",2,2,,
2020,144288174,126961355,5,4,,"M",2,2,,
2020,144290716,126960487,1,4,,"M",2,2,,
2020,144288185,126960494,2,5,30,"F",2,2,30,0
2020,144290727,126960494,1,5,28,"F",2,2,28,0
2020,144290738,126960503,1,4,,"U",0,2,,
2020,144288198,126961373,1,4,,"U",0,3,,
2020,144288234,126960536,1,4,,"M",2,3,,
2020,144290807,126961411,2,5,26,"M",2,2,26,0
2020,144288247,126961411,1,5,26,"M",2,2,26,0
2020,144572051,127207153,1,4,,"U",0,3,,
2020,144576004,127207161,1,5,27,"M",2,2,27,0
2020,144576028,127198686,1,4,,"U",0,3,,
2020,144572078,127207178,1,4,,"U",0,3,,
2020,144572125,127207217,1,4,,"U",0,3,,
2020,144576109,127198768,1,4,,"U",0,3,,
2020,144576143,127207230,1,4,,"U",0,3,,
2020,144576149,127207234,1,5,33,"M",2,2,33,0
2020,144576166,127207252,1,5,35,"M",2,2,35,0
2020,144572169,127198833,1,4,,"U",0,3,,
2020,144576228,127198861,1,4,,"U",0,3,,
2020,144572263,127207366,1,5,62,"F",2,3,62,0
2020,144572294,127207387,1,4,,"U",0,3,,
2020,144572313,127207404,1,5,27,"M",2,2,27,0
2020,144572321,127207408,1,4,,"U",0,3,,
2020,144576390,127207418,1,4,,"U",0,3,,
2020,144572346,127207427,1,4,,"M",2,3,,
2020,144572347,127207427,2,5,17,"M",2,2,17,0
2020,144576437,127207433,1,4,,"U",0,3,,
2020,144572372,127207449,1,4,,"U",0,3,,
2020,144572378,127207453,1,4,,"U",0,3,,
2020,144572389,127207466,1,4,,"U",0,3,,
2020,144576514,127207467,1,4,,"U",0,3,,
2020,144576545,127207486,1,5,61,"F",2,2,61,0
2020,144572449,127207512,1,4,,"M",0,3,,
2020,144572462,127207524,1,4,,"U",0,3,,
2020,144576704,127207540,1,4,,"U",0,3,,
