"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2020,129159005,20,90,,143914646
2020,129159005,9,0,,143920303
2020,129161654,61,2000,,143920319
2020,129161683,38,1000,,143920391
2020,129159075,3,25000,,143920405
2020,129159087,61,300,,143914731
2020,129161714,63,200,,143914748
2020,129161715,20,60,,143914749
2020,129159125,9,0,,143920457
2020,129159124,38,100,,143914766
2020,129159132,25,20,,143920469
2020,129159132,20,7,,143914775
2020,129161756,38,400,,143914804
2020,129159186,20,300,,143920545
2020,129159186,25,1300,,143920544
2020,129159216,38,20,,143920593
2020,129159244,38,1000,,143914886
2020,129159253,38,1,,143914889
2020,129159294,3,4000,,143914919
2020,129159308,3,10000,,143914934
2020,129161857,3,10000,15-MAR-20,143920706
2020,129159326,19,158,,143920739
2020,129161872,19,158,13-MAR-20,143920736
2020,129159331,19,100,19-MAR-20,143920745
2020,129159338,8,100,,143914951
2020,129159338,19,100,,143920750
2020,129159331,8,100,19-MAR-20,143920744
2020,129159348,3,500,,143920759
2020,129161902,38,500,,143914990
2020,129161915,38,150,,143920850
2020,129159434,63,500,,143920884
2020,129159434,16,100,,143920885
2020,129159434,29,10000,,143920883
2020,129159437,36,1500,,143915023
2020,129159445,38,1000,,143915036
2020,129159002,36,1305,,143920298
2020,129161640,38,200,,143914644
2020,129159043,8,151,,143920356
2020,129159042,8,151,31-MAR-20,143920354
2020,129159065,38,500,,143920394
2020,129159097,38,3000,,143920428
2020,129161771,38,15,,143914818
2020,129159197,6,110,,143920563
2020,129161792,38,100,,143914860
2020,129161807,38,1200,,143920611
2020,129159265,20,2000,,143920641
2020,129159265,17,3700,,143920640
2020,129159262,63,200,,143920637
2020,129161838,38,1000,,143920675
2020,129159300,38,700,,143914923
2020,129159336,20,2000,,143914957
2020,129159363,51,0,,143920777
2020,129159363,47,0,,143920778
2020,129159362,38,200,,143920776
2020,129159375,54,400,,143914979
2020,129159390,38,200,,143920824
2020,129159395,57,300,,143920834
2020,129159394,63,100,,143920833
2020,129159418,3,8000,,143920866
2020,129161943,19,519,02-MAR-20,143915046
2020,129161945,19,519,,143915048
2020,129159540,61,250,,143921017
2020,129159553,63,2700,,143915146
2020,129164635,10,,,143915211
2020,129162081,16,2,,143915223
2020,129162081,20,2000,,143915221
2020,129162081,51,0,,143915224
2020,129162081,25,10,,143915222
2020,129164683,10,,,143921190
2020,129164689,10,240,,143921196
2020,129164711,63,100,,143915279
2020,129164715,19,50,,143921229
2020,129164715,7,3000,,143921225
2020,129164715,61,1000,,143921227
2020,129162147,63,20,,143915303
2020,129162144,63,5000,,143921242
2020,129162146,63,20,29-FEB-20,143915301
2020,129162149,10,,,143915306
2020,129164735,10,,,143915312
2020,129164738,10,,,143921262
2020,129164742,26,2500,,143915325
2020,129164742,63,2000,,143921268
2020,129164742,16,500,,143921270
2020,129162192,54,3180,,143915358
2020,129162190,63,50,,143921293
2020,129162248,10,,,143921340
2020,129164806,38,500,,143921372
2020,129164820,20,5000,,143921392
2020,129162314,38,400,,143915508
2020,129162343,6,200,,143921538
2020,129162343,25,50,,143915577
2020,129164926,38,100,,143921535
2020,129162360,3,10000,03-FEB-20,143921564
2020,129162363,38,500,,143915597
2020,129164962,20,100,,143921587
2020,129164982,38,200,,143921607
2020,129164986,38,10100,,143921610
2020,129162392,20,150,,143915645
2020,129162392,10,,,143915647
2020,129165018,38,500,,143921646
2020,129165016,38,500,,143921645
2020,129165029,63,50,,143915678
2020,129165042,63,30,,143921671
2020,129165042,8,20,,143921672
2020,129162438,20,1600,,143915708
2020,129162455,59,1000,,143915728
2020,129165130,38,3400,,143921778
2020,129165167,3,10000,,143921821
2020,129165172,24,5000,,143915835
2020,129165372,3,23000,,143922137
2020,129165392,63,500,,143916037
2020,129165410,63,500,,143916055
2020,129162667,16,5000,,143922176
2020,129162667,6,900,,143922177
2020,129162667,13,500,,143916060
2020,129162667,20,10000,,143922175
2020,129162667,63,200,,143916062
2020,129165471,51,0,,143922273
2020,129165471,25,30,,143922270
2020,129165471,47,0,,143922271
2020,129165471,20,100,,143922269
2020,129162727,38,90,,143916141
2020,129165532,53,300,,143922357
2020,129165557,9,0,,143922395
2020,129165557,27,10,,143922391
2020,129165557,51,0,,143922397
2020,129165557,63,25,,143922388
2020,129165577,19,697,,143922427
2020,129165574,19,697,13-APR-20,143916233
2020,129162813,54,800,,143916265
2020,129162833,38,20,,143916286
2020,129165641,38,300,,143916290
2020,129162848,38,300,,143916306
2020,129162903,3,11000,,143916369
2020,129165772,3,12000,,143922702
2020,129165771,3,12000,15-APR-20,143922700
2020,129165801,20,1,,143922744
2020,129165818,64,10000,,143916448
2020,129165829,61,400,,143922782
2020,129165829,25,10,,143922783
2020,129165865,3,600,,143916494
2020,129165865,63,200,,143922823
2020,129165880,38,400,,143922840
2020,129165896,38,300,,143922864
2020,129163053,61,1000,,143922893
2020,129163077,6,657,,143916581
2020,129165994,63,3000,,143923002
2020,129163121,38,100,,143916633
2020,129166048,38,300,,143923080
2020,129166056,3,5000,,143916654
2020,129163164,16,1,,143916669
2020,129166094,54,200,,143923138
2020,129163184,3,11500,,143923168
2020,129166118,3,11500,25-FEB-20,143916694
2020,129166137,63,25,,143923185
2020,129166136,38,250,,143923184
2020,129163200,38,150,,143916715
2020,129166141,38,10000,,143923190
2020,129166229,38,200,,143923278
2020,129163258,10,,,143923303
2020,129163286,38,220,,143923345
2020,129166307,3,5000,03-MAR-20,143916860
2020,129166318,17,20000,,143923398
2020,129166315,63,1000,,143916863
2020,129166318,26,400,,143923400
2020,129166378,20,6851,,143916887
2020,129166378,52,0,,143923486
2020,129166385,8,182,,143916892
2020,129163341,63,300,,143916912
2020,129163341,42,1000,,143916910
2020,129166437,38,1,,143923544
2020,129166451,38,50,,143923561
2020,129166450,38,500,,143923559
2020,129166455,21,4000,,143923571
2020,129166511,38,10,,143923644
2020,129166558,61,500,,143923708
2020,129166558,6,100,,143923709
2020,129166573,20,80,,143923726
2020,129166573,25,20,,143923727
2020,129166596,3,17000,,143923768
2020,129165706,63,300,,143916342
2020,129165717,36,1800,,143916354
2020,129165716,38,500,,143922623
2020,129162909,4,100,,143916375
2020,129162906,63,200,,143916372
2020,129162933,20,703,,143916414
2020,129165853,38,2300,,143922808
2020,129163005,10,150,,143916491
2020,129165920,52,0,,143922897
2020,129165976,63,100,,143916587
2020,129163101,20,7412,,143916607
2020,129163108,38,900,,143923022
2020,129166021,19,100,,143916623
2020,129166021,25,1400,,143916619
2020,129166021,20,150,,143916621
2020,129166021,61,400,,143916620
2020,129163131,61,700,,143923061
2020,129163146,38,200,,143916653
2020,129163148,10,,,143916655
2020,129166064,17,300,,143923101
2020,129166064,25,50,,143916662
2020,129166072,63,400,,143923111
2020,129166090,38,300,,143916681
2020,129163207,38,1000,,143923195
2020,129163209,10,,,143923201
2020,129166178,10,,,143923217
2020,129166254,53,499,,143923317
2020,129166266,63,155,,143923335
2020,129166275,10,,,143916836
2020,129166275,51,0,,143923344
2020,129166276,63,100,,143923347
2020,129166276,25,50,,143923348
2020,129166276,51,0,,143923349
2020,129166276,9,0,,143923350
2020,129166276,20,200,,143923346
2020,129166336,38,1200,,143923433
2020,129166366,20,500,,143923470
2020,129166399,20,200,,143923499
2020,129166420,38,200,,143923531
2020,129166435,63,1000,,143916922
2020,129163365,24,1000,,143923593
2020,129166466,24,1000,13-MAR-20,143923592
2020,129163379,38,200,,143923656
2020,129163380,61,750,,143916975
2020,129166527,38,200,,143923670
2020,129164695,38,100,,143921203
2020,129164780,52,0,,143921333
2020,129164801,10,,,143921365
2020,129164852,10,,,143921454
2020,129162315,38,200,,143915509
2020,129164861,38,2000,,143921470
2020,129164890,38,250,,143915539
2020,129164891,38,400,,143921500
2020,129162357,3,5000,20-JAN-20,143915593
2020,129164945,3,5000,,143915595
2020,129164964,8,4,30-JAN-20,143921589
2020,129164965,8,4,,143921590
2020,129164977,20,290,,143915628
2020,129164988,10,,,143921613
2020,129162410,3,20000,,143921654
2020,129165034,3,3000,,143921662
2020,129162420,63,8,21-FEB-20,143921665
2020,129162420,26,50,21-FEB-20,143915686
2020,129165037,26,50,,143921667
2020,129165037,27,125,,143915687
2020,129162420,27,125,21-FEB-20,143915685
2020,129165037,63,8,,143921668
2020,129162431,38,10,,143915702
2020,129162446,20,40000,,143915715
2020,129165077,20,12530,,143915732
2020,129162464,20,5500,,143915740
2020,129162472,9,0,,143915749
2020,129162472,25,100,,143915746
2020,129162472,63,600,,143921729
2020,129162472,51,0,,143915747
2020,129162472,20,360,,143915745
2020,129165126,38,500,,143915793
2020,129162500,38,700,,143921780
2020,129162523,38,2500,,143921805
2020,129162529,7,600,,143921816
2020,129162534,3,10000,,143915836
2020,129165193,25,10,,143921853
2020,129165193,51,0,,143921854
2020,129165193,20,320,,143921852
2020,129165371,20,325,,143922136
2020,129162654,36,900,,143916036
2020,129165405,63,300,,143922168
2020,129165407,8,560,,143916051
2020,129165554,20,20,,143922389
2020,129162785,38,5,,143916225
2020,129162788,63,200,,143916236
2020,129162860,3,1000,,143916322
2020,129165696,3,14000,,143922602
2020,129165725,38,100,,143922635
2020,129165735,24,1,,143916367
2020,129162944,3,18000,,143922709
2020,129163031,21,12000,,143916523
2020,129165907,38,70,,143916536
2020,129163055,38,1200,,143922894
2020,129163059,29,5000,,143922907
2020,129165957,10,,,143916573
2020,129165990,15,15034,,143922998
2020,129165990,36,25810,,143916592
2020,129166031,63,500,,143923039
2020,129163162,38,200,,143923108
2020,129163179,38,500,,143916688
2020,129163182,38,1000,,143916690
2020,129166123,8,300,,143923173
2020,129166149,36,5735,,143916721
2020,129166149,3,5000,,143923194
2020,129166207,7,2000,,143916778
2020,129166267,63,250,,143923336
2020,129166317,38,1400,,143923401
2020,129166334,63,1000,,143923431
2020,129166380,3,10000,24-JAN-20,143923488
2020,129166382,3,10000,,143923491
2020,129166398,63,150,,143923500
2020,129166439,10,,,143923545
2020,129166471,3,8000,,143923596
2020,129166499,38,125,,143923627
2020,129166513,16,220,,143923647
2020,129166513,63,100,,143923648
2020,129166513,6,50,,143923649
2020,129166540,38,200,,143923685
2020,129166536,38,500,,143923678
2020,129158997,27,1,,143920290
2020,129158997,20,1,,143920289
2020,129158997,63,1,,143920288
2020,129161710,38,500,,143920432
2020,129159099,38,250,,143920431
2020,129159106,38,200,,143920437
2020,129161720,38,600,,143914755
2020,129161726,25,20,,143914763
2020,129159122,38,500,,143920453
2020,129159133,26,150,,143920471
2020,129159156,16,1017,,143920501
2020,129161765,19,500,,143920510
2020,129159190,38,150,,143914845
2020,129161784,16,10,,143920553
2020,129161784,61,200,,143914846
2020,129161784,38,900,,143920551
2020,129159246,38,1,,143920622
2020,129161823,51,0,,143914900
2020,129161823,9,0,,143920649
2020,129161823,47,0,,143920652
2020,129161823,25,100,,143920645
2020,129161823,20,85,,143920647
2020,129159286,20,50,,143920676
2020,129159311,3,10000,,143920710
2020,129161881,38,5,,143920761
2020,129161890,42,1000,,143914976
2020,129161899,3,10000,,143914988
