"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2020,5,131757237,7,9,15492302
2020,5,131758203,2,9,15492353
2020,4,137056286,1,9,16500800
2020,12,126295539,3,9,14431585
2020,4,126295443,1,11,14431579
2020,7,126295572,,,14431592
2020,5,126295606,1,11,14431598
2020,1,129629619,1,11,15037473
2020,5,129629638,2,9,15029162
2020,8,129629638,1,9,15037474
2020,17,129629734,35,9,15037480
2020,4,129629734,4,9,15037479
2020,10,129622994,1,11,15029179
2020,17,129623224,1,11,15029191
2020,5,129623276,1,11,15029192
2020,5,129623335,1,11,15037499
2020,5,129630390,1,11,15037508
2020,2,129623829,1,9,15037520
2020,5,129630693,5,1,15037527
2020,5,131757135,1,11,15492295
2020,17,131757164,1,9,15492296
2020,1,131757169,1,9,15492297
2020,5,131757181,12,1,15492298
2020,5,131757238,1,1,15492303
2020,12,131753430,1,11,15498414
2020,14,131753434,159,9,15498417
2020,11,131753434,2,9,15498416
2020,16,131757321,249,9,15492309
2020,5,131753470,1,11,15498421
2020,5,131753471,2,9,15498422
2020,5,131757385,1,11,15492311
2020,5,131757640,1,11,15492323
2020,5,131757735,1,11,15492328
2020,5,131753603,1,9,15492337
2020,10,131753603,1,9,15492338
2020,2,131753603,1,9,15492336
2020,5,131757931,1,11,15492340
2020,16,131753670,1,11,15492346
2020,5,131753693,1,11,15498434
2020,5,131758162,1,9,15492351
2020,5,131758268,1,11,15492354
2020,5,131753770,1,9,15498438
2020,2,131758475,1,11,15492363
2020,5,131753821,1,11,15492364
2020,5,129630262,1,11,15037504
2020,5,129623834,1,11,15037525
2020,5,129622990,1,11,15029178
2020,5,129622713,1,11,15029163
2020,5,129622714,1,11,15029164
2020,5,129623437,1,11,15037507
2020,11,129623437,1,11,15029204
2020,5,129623727,,,15037515
2020,4,129623828,2,9,15029219
2020,5,129623315,1,11,15029198
2020,1,129630220,0.5,1,15037498
2020,2,129630447,1,11,15037512
2020,5,129630447,1,11,15037513
2020,5,129390106,24,1,14978374
2020,5,129623302,1,11,15029194
2020,5,129858020,938.8,1,15087216
2020,5,129385507,6,1,14982840
2020,5,129389829,26.2,1,14978355
2020,5,129384626,32,1,14982798
2020,10,129384858,0.35,7,14982815
2020,10,129390919,2,1,14978417
2020,5,129390942,184,1,14978443
2020,5,129379523,38.8,1,14978335
2020,17,129385520,3,1,14982846
2020,1,129391019,12,1,14978495
2020,5,129385443,42,1,14982831
2020,8,129391002,1,11,14978475
2020,5,129384870,3.5,1,14982816
2020,5,129391002,46,1,14978474
2020,10,129385432,2,9,14982825
2020,5,129385432,139,1,14982826
2020,5,129384832,20,1,14982808
2020,5,129384829,8.7,1,14982807
2020,8,128741269,16,7,14852720
2020,5,129385003,94,1,14982818
2020,5,129384834,90,1,14978364
2020,2,129162046,0.6,1,14950110
2020,5,129162037,36,1,14945143
2020,1,129162046,0.8,1,14950109
2020,5,129165862,8,1,14950209
2020,1,129163011,0.3,1,14945230
2020,5,128741243,119.5,1,14852718
2020,5,129384836,90,1,14982809
2020,2,129385414,28,1,14982824
2020,5,129385402,10,1,14982823
2020,5,129385441,26,1,14982830
2020,2,129164989,1,1,14950173
2020,5,129165213,33,1,14950187
2020,4,129165876,1.5,1,14945240
2020,8,129159318,0.5,1,14950096
2020,5,129164681,33,1,14950121
2020,2,129164954,1,1,14950168
2020,5,129162386,20,1,14945197
2020,5,129162993,11,1,14945224
2020,5,129166248,13,1,14945273
2020,8,129166248,5,9,14950252
2020,5,129166296,60.01,1,14950259
2020,17,129384824,39.3,1,14982804
2020,5,129384855,40,1,14982814
2020,8,129384855,11.5,9,14982813
2020,2,129384855,3.5,1,14982812
2020,5,129390911,1,1,14978415
2020,5,129159473,77,1,14950099
2020,5,129162029,50,1,14950107
2020,5,129162035,31.8,1,14945142
2020,1,129164633,2,1,14950112
2020,5,129162148,26.2,1,14945156
2020,5,129164752,10,1,14950145
2020,2,129164990,1,1,14950174
2020,1,129162467,1,1,14950184
2020,7,129165226,31,1,14950193
2020,4,129163010,10,1,14950213
2020,5,129163010,0.02,1,14950212
2020,5,129165892,7,1,14950222
2020,5,129165912,20,1,14950223
2020,10,129166313,1,9,14950266
2020,5,129159315,27,1,14950094
2020,5,129164682,71,1,14950123
2020,16,129164733,3.5,9,14950138
2020,5,129162191,20,1,14945173
2020,5,129164992,15,1,14950175
2020,1,129165866,2,1,14945229
2020,12,129165866,32,9,14945228
2020,18,129165866,,,14950211
2020,5,129166309,75,1,14950264
2020,4,129159555,0.2,1,14945140
2020,5,129164783,50.4,1,14945182
2020,10,129162273,1,9,14945186
2020,5,129164947,20,1,14950167
2020,5,129162384,7,1,14945196
2020,8,129162384,1,7,14950176
2020,5,129165217,8,1,14950189
2020,8,129165217,9,9,14950190
2020,5,129162708,11.5,1,14945213
2020,12,129163193,15.2,1,14950237
2020,5,129163193,7.6,1,14950238
2020,2,129163300,0.4,1,14950260
2020,5,129161937,14,1,14945135
2020,10,129162112,1.2,3,14945145
2020,4,129162255,0.5,1,14950153
2020,5,129162293,21.6,1,14945190
2020,5,129165479,48,1,14950197
2020,11,129166145,3,1,14945257
2020,5,129159507,14.3,1,14950103
2020,5,129162031,21,1,14950108
2020,5,129164619,44.8,1,14950111
2020,5,129164653,2,1,14950114
2020,8,129164663,111,9,14950117
2020,8,129164663,12,1,14950118
2020,5,129162139,179,1,14945155
2020,5,129164729,2,1,14950134
2020,5,129162188,110,1,14950146
2020,5,129162245,23,1,14950151
2020,4,129163063,0.01,1,14945246
2020,5,129163165,44,1,14945254
2020,5,129166198,12,1,14945268
2020,17,129166198,52,1,14945269
2020,5,129163249,24,1,14950250
2020,5,129166246,4,1,14945274
2020,10,129162230,,,14945179
2020,5,129162246,36,1,14945183
2020,5,129164839,13,1,14950160
2020,5,129165950,94,1,14950224
2020,1,129166049,3.81,1,14950231
2020,2,129166049,1,1,14950232
2020,1,129163187,0.3,1,14945255
2020,5,129166147,103,1,14950239
2020,10,129163226,1,1,14945266
2020,2,129166311,18.7,1,14950265
2020,10,129159143,1,1,14945128
2020,10,129161932,2.125,7,14945133
2020,12,129161932,19,9,14945134
2020,5,129161932,7,1,14950098
2020,5,129159484,136.6,1,14950102
2020,5,129164635,30,1,14950113
2020,2,129164683,1,1,14950124
2020,5,129164689,12,1,14950129
2020,5,129162149,29,1,14945157
2020,5,129164735,17,1,14945158
2020,5,129164738,1,1,14950140
2020,8,129162248,0.5,1,14950152
2020,5,129162392,46.5,1,14945199
2020,12,129163258,957,1,14950251
2020,5,129164660,46,1,14950116
2020,17,129162111,4,1,14945146
2020,5,129162111,66,1,14950122
2020,5,129162115,18,1,14945149
2020,10,129162166,0.25,3,14950141
2020,5,129164746,16,9,14945166
2020,5,129164746,160.4,1,14945165
2020,5,129162178,30,1,14945172
2020,1,129165050,3,1,14950179
2020,16,129165050,8,1,14950180
2020,2,129165059,28,1,14950181
2020,5,129165059,60,1,14950182
2020,10,129162678,1,9,14945211
2020,10,129163227,0.25,7,14945267
2020,8,129166245,10,9,14945271
2020,5,129166245,424,1,14945270
2020,5,129164801,48.8,1,14950154
2020,5,129164852,840,1,14950162
2020,5,129164988,40,1,14950172
2020,5,129165957,26,1,14945248
2020,2,129165957,0.4,1,14950226
2020,10,129166439,1,1,14950268
2020,12,129162027,28.3,1,14945141
2020,5,129162027,22.4,1,14950106
2020,5,129164731,3.5,1,14950136
2020,10,129164772,0.3,1,14950148
2020,5,129164774,478.8,1,14945180
2020,8,129164774,0.1,7,14945181
2020,5,129164824,122,1,14950158
2020,2,129165000,1,1,14950178
2020,10,129165218,1,7,14950191
2020,5,129162572,87,1,14945202
2020,18,129162878,,,14945219
2020,5,129162878,100.8,1,14945218
2020,2,129162878,38.5,1,14950204
2020,1,129163044,7.2,1,14945244
2020,17,129163044,2.5,1,14945243
2020,5,129163044,33.8,1,14945245
2020,10,129166154,0.5,7,14950241
2020,4,129164946,0.3,1,14950166
2020,1,129164997,0.5,1,14950177
2020,4,129165001,0.31,1,14945198
2020,5,129165607,23,1,14945215
2020,16,129162986,2,1,14945223
2020,4,129165864,0.25,1,14950210
2020,5,129163018,80,1,14945234
2020,10,129163020,0.1,3,14945237
2020,8,129163020,15,9,14945236
2020,5,129163153,23,1,14945252
2020,10,129166186,1,11,14950246
2020,5,129166310,48,1,14950263
2020,10,129163406,0.25,3,14950270
2020,10,129385830,0.25,7,14982861
2020,1,129163143,3.5,1,14950230
2020,5,129163143,2,1,14950233
2020,8,129163143,23,9,14950229
2020,16,129166305,1,9,14950262
2020,1,129159165,4.5,1,14950092
2020,5,129162306,384,1,14945193
2020,5,129162330,22.5,1,14945194
2020,5,129162470,14.2,1,14950185
2020,5,129162473,1111,1,14945201
2020,5,129162578,3,1,14945203
2020,1,129163005,6,1,14945226
2020,5,129163005,34,1,14945225
2020,5,129163148,35,1,14950234
2020,10,129163209,1,3,14945262
2020,2,129166178,1,1,14950243
2020,5,129166178,4,1,14950244
2020,5,129166275,32,1,14950255
2020,17,129166275,3,9,14950256
2020,1,129166275,3,1,14950254
2020,1,129166304,0.3,1,14950261
2020,5,129379490,25.8,1,14978334
2020,8,129384627,8,7,14982799
2020,2,129622656,2,9,15029153
2020,11,129622656,3,9,15029156
2020,5,129622656,3,9,15029155
2020,2,129622665,1,11,15029157
2020,5,129622812,,,15037476
2020,17,129622812,,,15037477
2020,13,129629884,,,15037484
2020,2,129630587,1,11,15029213
2020,2,137055195,1,9,16500736
2020,1,129391006,5,1,14978479
2020,4,129391006,2,9,14978480
2020,5,129385870,51.8,1,14982862
2020,5,129622880,1,11,15029172
2020,5,129629825,1,11,15037483
2020,5,129629964,1,11,15037486
2020,5,129623097,1,11,15037489
2020,17,129623307,1,11,15029196
2020,5,129623307,1,11,15029195
2020,5,129623320,45,3,15037496
2020,5,129623386,1,11,15029201
