"DATA_YEAR","VICTIM_ID","INCIDENT_ID","VICTIM_SEQ_NUM","VICTIM_TYPE_ID","ASSIGNMENT_TYPE_ID","ACTIVITY_TYPE_ID","OUTSIDE_AGENCY_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_STATUS_CODE","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,144312654,131400114,1,4,,,,5,35,"M",1,1,"N",35,0
2020,144312665,131400123,1,4,,,,5,32,"F",2,,"R",32,0
2020,144312678,131400138,1,4,,,,5,37,"F",2,2,"N",37,0
2020,144312693,131400154,1,4,,,,5,27,"F",1,1,"R",27,0
2020,144314578,131401986,1,4,,,,5,30,"F",2,,"R",30,0
2020,144312745,131400210,1,4,,,,5,43,"M",2,,"N",43,0
2020,144312792,131400252,1,4,,,,5,39,"M",1,1,"R",39,0
2020,144312795,131400258,1,4,,,,5,56,"M",2,2,"R",56,0
2020,144312810,131400270,1,4,,,,5,28,"F",2,2,"R",28,0
2020,144312832,131400287,1,4,,,,5,49,"F",1,1,"R",49,0
2020,144314678,131400299,1,4,,,,5,72,"F",4,2,"R",72,0
2020,144314697,131400321,1,1,,,,,,"",,,"",,
2020,144312881,131400336,1,4,,,,5,44,"M",2,2,"R",44,0
2020,144317924,131400369,1,4,,,,5,36,"M",2,2,"R",36,0
2020,144314810,131402182,1,4,,,,5,25,"F",2,3,"R",25,0
2020,144314811,131402182,2,4,,,,5,61,"M",2,2,"N",61,0
2020,144317993,131400426,1,8,,,,,,"",,,"",,
2020,144318025,131400458,1,4,,,,5,35,"M",2,2,"R",35,0
2020,144314850,131402217,1,4,,,,5,39,"F",2,,"N",39,0
2020,144318039,131402225,1,4,,,,5,49,"M",1,1,"R",49,0
2020,144314883,131402248,1,4,,,,5,22,"M",2,2,"R",22,0
2020,144318066,131402255,1,4,,,,5,74,"F",2,,"R",74,0
2020,144318098,131402281,1,4,,,,5,39,"M",2,2,"R",39,0
2020,144314980,131402331,1,4,,,,5,36,"M",2,2,"R",36,0
2020,144318177,131400598,2,4,,,,5,42,"F",2,,"R",42,0
2020,144318178,131400598,3,1,,,,,,"",,,"",,
2020,144314983,131400598,1,4,,,,5,32,"M",2,,"R",32,0
2020,144318185,131400604,1,4,,,,5,34,"M",2,2,"R",34,0
2020,144318186,131400605,1,1,,,,,,"",,,"",,
2020,144318206,131400625,1,4,,,,5,22,"F",2,,"R",22,0
2020,144314999,131400627,1,4,,,,5,31,"F",2,2,"R",31,0
2020,144315004,131402353,1,4,,,,5,46,"F",1,2,"R",46,0
2020,144318227,131400644,1,4,,,,5,37,"M",2,2,"R",37,0
2020,144315019,131402367,2,4,,,,5,1,"M",2,,"R",1,0
2020,144318237,131402367,1,4,,,,5,34,"F",2,,"R",34,0
2020,144315022,131402373,2,4,,,,4,,"F",2,2,"N",,
2020,144315021,131402373,1,4,,,,5,64,"F",2,2,"R",64,0
2020,144318257,131402379,1,4,,,,5,27,"F",2,2,"N",27,0
2020,144315047,131402389,1,4,,,,5,23,"F",2,2,"R",23,0
2020,144315067,131400698,1,4,,,,5,45,"M",2,2,"R",45,0
2020,144318308,131400717,1,4,,,,5,48,"M",2,2,"R",48,0
2020,144318315,131400723,1,1,,,,,,"",,,"",,
2020,144315105,131402445,1,4,,,,5,26,"F",2,2,"N",26,0
2020,144318359,131400762,1,4,,,,5,50,"M",2,2,"R",50,0
2020,144318366,131400769,1,4,,,,5,47,"F",2,,"R",47,0
2020,144315227,131402538,1,4,,,,5,30,"F",2,,"R",30,0
2020,144315235,131402543,2,4,,,,5,40,"M",1,,"R",40,0
2020,144318438,131402543,1,4,,,,5,60,"M",1,,"N",60,0
2020,144315245,131402550,1,4,,,,5,33,"M",2,,"R",33,0
2020,144315261,131402564,1,4,,,,5,61,"F",2,,"R",61,0
2020,144315265,131402567,1,8,,,,,,"",,,"",,
2020,144318462,131400865,1,8,,,,,,"",,,"",,
2020,144318464,131400868,1,8,,,,,,"",,,"",,
2020,144315307,131402608,1,1,,,,,,"",,,"",,
2020,144318504,131402621,1,4,,,,5,29,"F",2,,"R",29,0
2020,144315321,131400906,1,4,,,,5,54,"M",1,1,"N",54,0
2020,144318539,131400925,1,4,,,,5,43,"F",1,1,"R",43,0
2020,144318544,131400932,1,4,,,,5,25,"F",2,2,"R",25,0
2020,144315366,131400963,1,4,,,,5,24,"M",2,2,"N",24,0
2020,144315368,131400963,2,4,,,,5,35,"F",1,,"R",35,0
2020,144315409,131400994,5,8,,,,,,"",,,"",,
2020,144318632,131400994,1,4,,,,5,24,"F",2,2,"R",24,0
2020,144315408,131400994,4,4,,,,5,23,"M",2,2,"R",23,0
2020,144318633,131400994,2,4,,,,5,23,"M",2,,"R",23,0
2020,144318634,131400994,3,4,,,,5,24,"F",2,,"R",24,0
2020,144315426,131402713,1,4,,,,5,39,"F",2,2,"N",39,0
2020,144315438,131401021,1,4,,,,5,38,"F",1,1,"N",38,0
2020,144319980,131407135,1,4,,,,5,76,"F",2,2,"R",76,0
2020,144319986,131407141,1,1,,,,,,"",,,"",,
2020,144320015,131407170,1,4,,,,5,37,"M",1,1,"R",37,0
2020,144320035,131407186,1,4,,,,5,59,"F",2,2,"R",59,0
2020,144320062,131407210,1,8,,,,,,"",,,"",,
2020,144316649,131407228,1,4,,,,5,28,"F",2,2,"R",28,0
2020,144320122,131407247,1,4,,,,5,36,"M",2,2,"R",36,0
2020,144320194,131407294,1,4,,,,5,49,"M",2,2,"R",49,0
2020,144320219,131407319,1,4,,,,5,40,"M",4,2,"R",40,0
2020,144320238,131403831,1,4,,,,5,50,"M",2,,"R",50,0
2020,144320260,131403844,1,4,,,,5,49,"F",2,2,"R",49,0
2020,144320273,131403848,1,8,,,,,,"",,,"",,
2020,144320300,131403865,1,4,,,,5,52,"M",2,,"R",52,0
2020,144316801,131407388,1,4,,,,5,50,"M",2,2,"N",50,0
2020,144320309,131407392,1,1,,,,,,"",,,"",,
2020,144320316,131407400,1,4,,,,5,49,"M",0,,"U",49,0
2020,144320339,131407425,1,1,,,,,,"",,,"",,
2020,144320342,131407425,2,4,,,,5,23,"M",1,1,"R",23,0
