"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2020,4,131199538,4,1,15331437
2020,7,131199575,96,9,15331448
2020,5,131199575,169,1,15331449
2020,5,131205375,69,1,15331553
2020,16,131205375,8,9,15331554
2020,5,131205726,2.43,1,15331596
2020,5,131205729,4,1,15331598
2020,1,131206277,1.43,1,15331686
2020,12,131206279,0.5,1,15331688
2020,17,131206290,,,15331693
2020,1,131206299,0.77,1,15331700
2020,5,131206371,0.25,1,15331706
2020,5,131206381,0.1,3,15331709
2020,12,131206453,4,1,15331716
2020,5,131206453,3,1,15331715
2020,5,131206508,13.5,1,15331722
2020,5,131207037,10.3,1,15331768
2020,12,131207037,0.6,1,15331767
2020,12,131207105,0.01,1,15331774
2020,8,131207106,225,9,15331776
2020,8,131207106,0.01,1,15331775
2020,12,131207119,0.8,1,15331777
2020,12,131207126,0.001,1,15331779
2020,1,131209454,29.26,1,15332137
2020,8,131209527,6,9,15332156
2020,5,131209527,2.24,1,15332155
2020,16,131209549,3,9,15332159
2020,8,131209598,6.4,1,15332168
2020,11,131209598,0.97,1,15332169
2020,5,131209634,2.7,1,15332176
2020,15,131209634,11.63,1,15332177
2020,5,131209695,37.69,1,15332181
2020,1,131209695,1.2,1,15332180
2020,4,131209709,1.98,1,15332183
2020,10,131209725,1,7,15332186
2020,4,131209727,0.002,1,15332187
2020,11,131209837,48,9,15332199
2020,2,131209897,0.39,1,15332202
2020,5,131209933,2.03,1,15332211
2020,5,131209955,4.63,1,15332218
2020,16,131209955,467.5,9,15332219
2020,5,131209991,1.3,1,15332222
2020,5,131210017,1.1,1,15332238
2020,5,131480876,1.7,1,15417660
2020,5,131482000,1.3,1,15417839
2020,12,131482007,0.1,1,15417841
2020,5,130951750,65.2,1,15250589
2020,12,130953185,0.2,1,15250845
2020,5,130953189,3.7,1,15250847
2020,5,130953190,4.6,1,15250848
2020,12,131261244,8,1,15361966
2020,12,131480603,3,1,15417639
2020,5,131480609,1.2,1,15417643
2020,16,131915974,2,9,15577656
2020,5,131915974,1.79,1,15577654
2020,12,131915974,0.28,1,15577655
2020,12,131481457,1.37,1,15417730
2020,5,135106413,46.3,1,16141860
2020,12,132414620,1,1,15660288
2020,5,132414648,1,1,15660290
2020,5,131743668,1.18,3,15491807
2020,5,133536488,1,1,15895758
2020,12,133536488,0.01,1,15895757
2020,14,131048170,,,15283133
2020,16,132967553,36,9,15777514
2020,5,132967553,5.605,3,15777513
2020,5,132967569,0.9,1,15777517
2020,16,132967613,3,9,15777523
2020,12,132967613,1,11,15777522
2020,12,132967660,0.5,1,15777532
2020,16,132967660,4,9,15777533
2020,5,132967669,50.2,1,15777535
2020,12,132967697,24.7,1,15777542
2020,5,132967697,7.612,3,15777541
2020,2,132967697,0.5,1,15777540
2020,12,132967714,0.3,1,15777543
2020,12,132967760,9,9,15777554
2020,2,132967760,16.4,1,15777553
2020,5,132967762,0.05,1,15777555
2020,16,132967762,2.1,1,15777556
2020,5,132967779,4,1,15777559
2020,2,132967789,0.2,1,15777560
2020,5,132967901,3.6,1,15777575
2020,12,132967901,4.5,1,15777574
2020,5,132969417,1,1,15777685
2020,16,132970494,1,11,15777782
2020,5,132970515,0.016,2,15777783
2020,2,132970834,0.056,2,15777805
2020,12,132970845,0.005,2,15777808
2020,5,132970848,0.501,2,15777811
2020,2,132970848,0.015,2,15777810
2020,16,132970848,0,2,15777812
2020,2,132970918,0.01,2,15777821
2020,5,131047370,2.6,1,15283063
2020,12,131048230,4,1,15283145
2020,5,130952462,2,1,15250697
2020,12,130952462,4,1,15250698
2020,12,130952831,1,1,15250756
2020,4,130952831,1,1,15250755
2020,8,130952831,2,9,15250757
2020,5,130952834,2,1,15250758
2020,5,131041508,12.8,1,15277779
2020,5,132967693,5,1,15777539
2020,17,132967727,,,15777545
2020,5,132967732,11.9,1,15777547
2020,5,132967735,0.5,1,15777550
2020,5,132969120,16,1,15777669
2020,17,132969228,,,15777677
2020,2,132969248,1,1,15777678
2020,5,132969257,24,1,15777679
2020,5,132969465,1,1,15777687
2020,8,132969697,3,9,15777701
2020,5,132969697,0.8,1,15777702
2020,5,132969699,10.11,1,15777704
2020,12,132969704,0.58,1,15777705
2020,8,132967842,1,9,15777569
2020,1,132967842,1,1,15777568
2020,12,132967847,2,1,15777570
2020,8,132967847,2,9,15777571
2020,5,132968205,94,1,15777619
2020,5,132968211,1,1,15777620
2020,5,132968202,1,1,15777618
2020,17,132968305,,,15777628
2020,2,132968369,0.1,1,15777632
2020,5,132968779,1,1,15777654
2020,5,132968928,0.5,1,15777662
2020,5,132969153,2,1,15777672
2020,5,132969413,17.5,1,15777683
2020,5,132969418,1,1,15777686
2020,5,132969695,1,1,15777700
2020,5,132969706,2.04,1,15777706
2020,12,132969706,0.16,1,15777707
2020,8,132969719,126,9,15777710
2020,5,132969857,14.5,1,15777719
2020,5,132969879,8,1,15777723
2020,1,132970250,0,2,15777755
2020,5,132970249,0.002,2,15777754
2020,4,132970249,0.012,2,15777753
2020,8,132970257,0.001,2,15777760
2020,5,132970257,0.008,2,15777759
2020,5,132971728,0.8,8,15777998
2020,12,132971718,0.2,1,15777995
2020,5,132971718,1.3,1,15777996
2020,5,132971737,0.5,1,15778000
2020,12,132971737,17.39,1,15777999
2020,4,132971743,0.01,1,15778002
2020,5,132971743,1,1,15778003
2020,5,132971759,15.54,1,15778006
2020,12,132971804,1.5,1,15778016
2020,5,132971829,2,1,15778019
2020,5,132972063,85.9,1,15778050
2020,5,132972096,3,1,15778051
2020,5,132972144,7.4,3,15778055
2020,17,132972151,0.1,1,15778056
2020,4,132972155,1,9,15778058
2020,5,132972216,0.4,1,15778074
2020,5,132972310,2,1,15778083
2020,5,132972323,1,1,15778087
2020,5,132972325,10,1,15778089
2020,5,132972340,3,1,15778093
2020,2,132972341,1,1,15778094
2020,5,132972350,4,1,15778096
2020,11,132972355,6,1,15778097
2020,5,132972381,1,1,15778098
2020,12,132967861,0.5,1,15777572
2020,8,132967861,2,9,15777573
2020,14,132969886,2,9,15777725
2020,5,132969888,2,1,15777726
2020,2,132969902,1,1,15777728
2020,1,132969902,10,1,15777729
2020,5,132969902,3,1,15777727
2020,12,132969904,1,1,15777730
2020,5,132969908,17,1,15777731
2020,14,132969924,1,9,15777732
2020,5,132969932,1,1,15777733
2020,12,132969978,0.6,1,15777736
2020,5,132969984,5.5,1,15777738
2020,5,132970036,10,1,15777742
2020,2,132970382,0.002,2,15777768
2020,5,132970399,0.013,2,15777771
2020,1,132970494,0.011,2,15777781
2020,8,131788414,70,9,15508754
2020,5,131795258,0.232,2,15517482
2020,12,131755849,1,1,15492117
2020,8,131785317,14,9,15508358
2020,12,132030011,0.3,1,15605369
2020,17,132030035,,,15605379
2020,17,132030084,,,15605380
2020,17,132030123,,,15605381
2020,5,132030153,148.5,1,15605382
2020,5,132030768,0.8,1,15605406
2020,1,132030775,1.1,1,15605407
2020,5,131205947,4.5,1,15331630
2020,17,131206019,2,1,15331649
2020,8,131206019,1,9,15331650
2020,12,131206019,0.5,1,15331648
2020,5,131206035,18.5,1,15331657
2020,5,131206190,2.7,1,15331668
2020,12,131206496,3.7,1,15331720
2020,5,131206496,1.9,1,15331719
2020,15,131206496,1,9,15331721
2020,1,131206525,0.5,1,15331723
2020,1,131206526,0.2,1,15331724
2020,5,131206527,6,1,15331725
2020,5,131206530,1.5,1,15331726
2020,5,131206547,6.8,1,15331730
2020,5,131206858,0.75,1,15331764
2020,2,131209456,2.98,1,15332138
2020,1,131209472,28.87,1,15332141
2020,4,131209518,0.12,1,15332151
2020,5,131209524,1,1,15332152
2020,16,131209552,1,9,15332160
2020,16,131209599,77,9,15332170
2020,5,131209602,0.26,1,15332172
2020,10,131209691,60.75,1,15332179
2020,1,131209702,1.62,1,15332182
2020,5,131209716,0.53,3,15332184
2020,1,131209718,1.01,1,15332185
2020,5,131209745,1,1,15332188
2020,1,131209757,0.2,1,15332190
2020,5,131209907,5.02,1,15332205
2020,5,131209918,3.6,1,15332209
2020,12,131227982,0.05,1,15359440
2020,5,131209989,1.1,1,15332221
2020,5,131210757,1,9,15332399
2020,5,131210761,5.3,1,15332402
2020,5,131210766,2.39,1,15332405
2020,5,131210771,11.29,1,15332407
2020,4,131214356,1,1,15358134
2020,5,131214415,1,11,15358139
2020,5,131480630,4.6,1,15417645
2020,5,131220154,2,1,15358262
2020,17,131220302,,,15358280
2020,17,131220352,,,15358287
2020,5,131220389,13.49,1,15358298
2020,8,131220405,1.5,9,15358300
