"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2020,20,158185753,32378132
2020,18,155797125,31641977
2020,12,155797130,31641979
2020,12,155797133,31641980
2020,3,152383377,30558849
2020,12,154444213,31283147
2020,2,154444216,31283148
2020,12,154444261,31283159
2020,12,154444272,31283162
2020,12,154444319,31283171
2020,6,154444323,31283172
2020,18,154451216,31283188
2020,20,154451218,31283190
2020,20,154451220,31283191
2020,20,154481174,31296762
2020,3,154778444,31381966
2020,20,158937161,32616911
2020,4,158937164,32616912
2020,12,158937172,32616913
2020,12,158937174,32616914
2020,12,158937177,32616915
2020,20,158937189,32616916
2020,12,158937191,32616917
2020,20,158937203,32616919
2020,18,158937214,32616921
2020,3,158937226,32616923
2020,3,158937228,32616924
2020,2,158937233,32616925
2020,20,158937237,32616927
2020,20,158937250,32616928
2020,9,158937699,32617021
2020,2,158937716,32617022
2020,3,158937816,32617032
2020,5,158937817,32617033
2020,2,158937835,32617034
2020,20,158938247,32617126
2020,12,158938255,32617127
2020,12,158938260,32617128
2020,12,158938264,32617129
2020,12,158938279,32617133
2020,12,158938294,32617136
2020,3,158938699,32617221
2020,12,158938700,32617222
2020,3,158938706,32617224
2020,20,158938707,32617225
2020,12,158938708,32617226
2020,3,158938715,32617227
2020,9,158938717,32617228
2020,12,158938721,32617229
2020,12,153939210,31044566
2020,12,152382452,30558628
2020,11,152383888,30558982
2020,12,152385451,30559389
2020,20,153948212,31045743
2020,12,153948270,31045763
2020,12,152378570,30557741
2020,12,152378575,30557743
2020,12,152378815,30557789
2020,12,152384122,30559031
2020,12,152375445,30557099
2020,12,152375503,30557118
2020,20,152375521,30557122
2020,12,152376113,30557232
2020,12,152376118,30557236
2020,9,152376118,30557235
2020,12,152376153,30557243
2020,12,152377500,30557522
2020,12,152377508,30557523
2020,9,152377521,30557527
2020,12,152377535,30557530
2020,12,152377560,30557533
2020,6,152377660,30557574
2020,20,152377674,30557578
2020,12,152377686,30557580
2020,12,152377691,30557581
2020,12,152377746,30557589
2020,12,152377769,30557595
2020,12,152377848,30557603
2020,3,152377853,30557604
2020,3,152377855,30557605
2020,12,152377864,30557609
2020,12,152377982,30557627
2020,12,152377986,30557628
2020,12,152378111,30557653
2020,9,152378228,30557681
2020,12,152378003,30557634
2020,12,152378132,30557662
