"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
108732020,10873,2020,"NC0010000","NC0010000","","N","N",,"I","ALAMANCE","ALAMANCE CO SO GRAHAM","Alamance","","A",32,"North Carolina","NC","NC","5","South Atlantic","3","South","Region III","County",68636,23379,"NCUCR0001","State Bureau of Investigation Crime Reporting and Criminal Statistics","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",123,92,215,10,49,59,0,0,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,"N","ALAMANCE","Burlington, NC","Y","Y","Y"
108742020,10874,2020,"NC0010100","NC0010100","","N","N",,"I","BURLINGTON","BURLINGTON POLICE DEPARTMENT","Burlington","","A",32,"North Carolina","NC","NC","5","South Atlantic","3","South","Region III","City",55003,23379,"NCUCR0001","State Bureau of Investigation Crime Reporting and Criminal Statistics","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","Y",109,13,122,24,30,54,0,0,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,"N","GUILFORD; ALAMANCE","Burlington, NC; Greensboro-High Point, NC","Y","Y","Y"
108752020,10875,2020,"NC0010200","NC0010200","","N","N",,"I","ELON","ELON POLICE DEPARTMENT","Elon","","A",32,"North Carolina","NC","NC","5","South Atlantic","3","South","Region III","City",12609,23379,"NCUCR0001","State Bureau of Investigation Crime Reporting and Criminal Statistics","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",17,0,17,3,1,4,0,0,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,"N","ALAMANCE","Burlington, NC","Y","Y","Y"
108762020,10876,2020,"NC0010300","NC0010300","","N","N",,"I","GRAHAM","GRAHAM PD","Graham","","A",32,"North Carolina","NC","NC","5","South Atlantic","3","South","Region III","City",15801,23379,"NCUCR0001","State Bureau of Investigation Crime Reporting and Criminal Statistics","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",33,1,34,6,2,8,0,0,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,"N","ALAMANCE","Burlington, NC","Y","Y","Y"
108772020,10877,2020,"NC0010400","NC0010400","","N","N",,"I","MEBANE","MEBANE PD","Mebane","","A",32,"North Carolina","NC","NC","5","South Atlantic","3","South","Region III","City",16894,23379,"NCUCR0001","State Bureau of Investigation Crime Reporting and Criminal Statistics","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",29,0,29,5,4,9,0,0,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,"N","ORANGE; ALAMANCE","Burlington, NC; Durham-Chapel Hill, NC","Y","Y","Y"
108782020,10878,2020,"NC0010500","NC0010500","","N","N",,"I","HAW RIVER","HAW RIVER PD HAW RIVER","Haw River","","A",32,"North Carolina","NC","NC","5","South Atlantic","3","South","Region III","City",2563,23379,"NCUCR0001","State Bureau of Investigation Crime Reporting and Criminal Statistics","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",7,0,7,1,0,1,0,0,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,"N","ALAMANCE","Burlington, NC","Y","Y","Y"
108792020,10879,2020,"NC001069E","NC0010600","","N","N",,"I","ELON UNIVERSITY","ELON UNIVERSITY","Elon University","","A",32,"North Carolina","NC","NC","5","South Atlantic","3","South","Region III","University or College",0,23379,"NCUCR0001","State Bureau of Investigation Crime Reporting and Criminal Statistics","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",15,9,24,3,7,10,0,0,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,"N","ALAMANCE","Burlington, NC","Y","Y","Y"
108822020,10882,2020,"NC0020000","NC0020000","","N","N",,"I","ALEXANDER","ALEXANDER CO SO TAYLORSVILLE","Alexander","","A",32,"North Carolina","NC","NC","5","South Atlantic","3","South","Region III","County",35363,23379,"NCUCR0001","State Bureau of Investigation Crime Reporting and Criminal Statistics","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",38,23,61,1,20,21,0,0,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,"N","ALEXANDER","Hickory-Lenoir-Morganton, NC","Y","Y","Y"
108832020,10883,2020,"NC0020100","NC0020100","","N","N",,"I","TAYLORSVILLE","TAYLORSVILLE PD","Taylorsville","","A",32,"North Carolina","NC","NC","5","South Atlantic","3","South","Region III","City",2167,23379,"NCUCR0001","State Bureau of Investigation Crime Reporting and Criminal Statistics","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",10,0,10,2,0,2,0,0,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,"N","ALEXANDER","Hickory-Lenoir-Morganton, NC","Y","Y","Y"
108862020,10886,2020,"NC0030000","NC0030000","","N","N",,"I","ALLEGHANY","ALLEGHANY CO SO SPARTA","Alleghany","","A",32,"North Carolina","NC","NC","5","South Atlantic","3","South","Region III","County",9417,23379,"NCUCR0001","State Bureau of Investigation Crime Reporting and Criminal Statistics","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",25,7,32,0,12,12,0,0,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,01-JAN-19,"N","ALLEGHANY","Non-MSA","Y","Y","Y"
