OFFENDER_ID,INCIDENT_ID,OFF_AGE_NUM,OFF_SEX_CODE,OFF_ETHNICITY_NAME,OFF_RACE_DESC,OFF_AGE_CODE
143783817,126500697,NA,U,Unknown,Unknown,00
143779756,126506102,NA,U,Unknown,Unknown,00
144286680,126958640,53,F,Not Hispanic or Latino,Black or African American,AG
144283627,126958717,32,M,Not Hispanic or Latino,Black or African American,AG
144283650,126958745,NA,U,Unknown,Unknown,00
144286768,126958767,NA,U,Unknown,Unknown,00
144283681,126958776,NA,F,Unknown,Unknown,00
144283682,126958776,NA,F,Unknown,Unknown,00
144286777,126958776,NA,F,Unknown,Unknown,00
144286775,126958776,NA,F,Unknown,Unknown,00
144286772,126958776,27,F,Not Hispanic or Latino,Black or African American,AG
144283764,126958849,20,U,Unknown,Unknown,AG
144283799,126958871,25,F,Hispanic or Latino,White,AG
144283811,126955219,NA,U,Unknown,Unknown,00
144283824,126958891,NA,U,Unknown,Unknown,00
144283839,126958909,NA,U,Unknown,Unknown,00
144283860,126958930,NA,U,Unknown,Unknown,00
144283866,126958936,NA,U,Unknown,Unknown,00
144283910,126958972,30,M,Unknown,Black or African American,AG
144283920,126958985,NA,U,Unknown,Unknown,00
144286932,126958993,31,F,Not Hispanic or Latino,Black or African American,AG
144286958,126959028,NA,U,Unknown,Unknown,00
144283975,126959039,13,M,Not Hispanic or Latino,Black or African American,AG
144283993,126959053,NA,U,Unknown,Unknown,00
144286983,126959066,20,M,Not Hispanic or Latino,Black or African American,AG
144284014,126959070,30,M,Not Hispanic or Latino,Black or African American,AG
144284056,126959112,NA,U,Unknown,Unknown,00
144284086,126955373,19,M,Not Hispanic or Latino,Black or African American,AG
144284099,126959148,NA,U,Unknown,Unknown,00
144284119,126959163,NA,U,Unknown,Unknown,00
144287093,126959179,25,M,Not Hispanic or Latino,Black or African American,AG
144287111,126959200,20,U,Unknown,Unknown,AG
144287110,126959200,20,U,Unknown,Unknown,AG
144287119,126959215,23,M,Not Hispanic or Latino,Black or African American,AG
144287181,126959279,22,M,Not Hispanic or Latino,Black or African American,AG
144287190,126955485,29,M,Not Hispanic or Latino,Black or African American,AG
144287227,126959317,33,M,Not Hispanic or Latino,Black or African American,AG
144287242,126959331,22,M,Not Hispanic or Latino,Black or African American,AG
144284311,126959338,53,M,Not Hispanic or Latino,Black or African American,AG
144284309,126955534,NA,U,Not Hispanic or Latino,Unknown,00
144284340,126959364,NA,U,Unknown,Unknown,00
144284343,126959369,NA,U,Unknown,Unknown,00
144287362,126959442,NA,U,Unknown,Unknown,00
144284443,126959450,25,F,Not Hispanic or Latino,Black or African American,AG
144284491,126959501,NA,U,Unknown,Unknown,00
144287422,126959520,60,F,Not Hispanic or Latino,White,AG
144284528,126959530,NA,U,Unknown,Unknown,00
144287446,126959537,25,M,Not Hispanic or Latino,Black or African American,AG
144287447,126959537,20,M,Unknown,Black or African American,AG
144287465,126959546,17,M,Not Hispanic or Latino,Black or African American,AG
144284557,126959554,30,M,Not Hispanic or Latino,Black or African American,AG
144284558,126959554,NA,U,Unknown,Black or African American,00
144287525,126955724,25,M,Not Hispanic or Latino,Black or African American,AG
144284634,126959626,51,M,Not Hispanic or Latino,White,AG
144284724,126959705,NA,U,Unknown,Unknown,00
144284727,126959711,NA,U,Unknown,Unknown,00
144287610,126959724,22,M,Not Hispanic or Latino,Black or African American,AG
144287612,126959727,NA,U,Unknown,Unknown,00
144284957,126959881,NA,U,Unknown,Unknown,00
144290022,126959930,NA,U,Unknown,Unknown,00
144287788,126955982,36,F,Not Hispanic or Latino,Black or African American,AG
144290089,126959987,NA,U,Unknown,Unknown,00
