DATA_YEAR,OFFENSE_ID,INCIDENT_ID,OFFENSE_TYPE_ID,LOCATION_NAME,OFFENSE_NAME
2020,161308459,133936338,30,Hotel/Motel/Etc.,Prostitution
2020,161308458,133936338,61,Hotel/Motel/Etc.,Purchasing Prostitution
2020,161308460,133936338,59,Hotel/Motel/Etc.,"Human Trafficking, Commercial Sex Acts"
2020,154737369,128116061,47,Residence/Home,Theft From Building
2020,154732630,128116094,8,Government/Public Building,Pornography/Obscene Material
2020,154732635,128116985,43,Residence/Home,Sodomy
2020,154737402,128116985,36,Residence/Home,Rape
2020,154732637,128116986,14,Parking/Drop Lot/Garage,Theft From Motor Vehicle
2020,154732654,128116991,16,Highway/Road/Alley/Street/Sidewalk,Drug/Narcotic Violations
2020,154732662,128116996,21,Highway/Road/Alley/Street/Sidewalk,Motor Vehicle Theft
2020,154737451,128121158,5,Residence/Home,Destruction/Damage/Vandalism of Property
2020,154737454,128121158,51,Residence/Home,Simple Assault
2020,154732959,128117152,14,Residence/Home,Theft From Motor Vehicle
2020,154737596,128121394,21,Parking/Drop Lot/Garage,Motor Vehicle Theft
2020,154732978,128117171,45,Highway/Road/Alley/Street/Sidewalk,All Other Larceny
2020,154732993,128117189,14,Parking/Drop Lot/Garage,Theft From Motor Vehicle
2020,154732995,128117189,16,Parking/Drop Lot/Garage,Drug/Narcotic Violations
2020,154737628,128117194,14,Residence/Home,Theft From Motor Vehicle
2020,154737672,128117233,23,Department/Discount Store,Shoplifting
2020,154737680,128117240,5,Highway/Road/Alley/Street/Sidewalk,Destruction/Damage/Vandalism of Property
2020,154733102,128117283,14,Residence/Home,Theft From Motor Vehicle
2020,154737760,128121528,14,Residence/Home,Theft From Motor Vehicle
2020,154737765,128117306,39,Highway/Road/Alley/Street/Sidewalk,Weapon Law Violations
2020,154737772,128121534,41,Other/Unknown,Credit Card/Automated Teller Machine Fraud
2020,154737788,128121546,5,Specialty Store,Destruction/Damage/Vandalism of Property
2020,154737799,128121555,23,Specialty Store,Shoplifting
2020,154733155,128121566,47,Specialty Store,Theft From Building
2020,154737835,128117360,14,Parking/Drop Lot/Garage,Theft From Motor Vehicle
2020,154737833,128117360,5,Parking/Drop Lot/Garage,Destruction/Damage/Vandalism of Property
2020,154737852,128117382,49,Residence/Home,Burglary/Breaking & Entering
2020,154737870,128117401,23,Specialty Store,Shoplifting
2020,154733232,128121628,47,Bank/Savings and Loan,Theft From Building
2020,154733231,128121628,63,Bank/Savings and Loan,Identity Theft
2020,154733234,128117413,7,Highway/Road/Alley/Street/Sidewalk,Theft of Motor Vehicle Parts or Accessories
2020,154737925,128117450,14,Residence/Home,Theft From Motor Vehicle
2020,154737956,128117481,45,Residence/Home,All Other Larceny
2020,154737959,128117485,21,Residence/Home,Motor Vehicle Theft
2020,154737958,128117485,14,Residence/Home,Theft From Motor Vehicle
2020,154733324,128117493,51,Commercial/Office Building,Simple Assault
2020,154733339,128121716,45,Residence/Home,All Other Larceny
2020,154737978,128117504,5,Parking/Drop Lot/Garage,Destruction/Damage/Vandalism of Property
2020,154737981,128121722,14,Parking/Drop Lot/Garage,Theft From Motor Vehicle
2020,154733360,128117517,5,Residence/Home,Destruction/Damage/Vandalism of Property
2020,154733362,128117517,51,Residence/Home,Simple Assault
2020,154733379,128117528,2,Residence/Home,False Pretenses/Swindle/Confidence Game
2020,154733387,128117534,41,Bank/Savings and Loan,Credit Card/Automated Teller Machine Fraud
2020,154733385,128117534,45,Other/Unknown,All Other Larceny
2020,154738011,128117540,14,Residence/Home,Theft From Motor Vehicle
2020,154733397,128117541,23,Service/Gas Station,Shoplifting
2020,154733400,128117545,14,Service/Gas Station,Theft From Motor Vehicle
2020,154733403,128117547,47,Specialty Store,Theft From Building
2020,154733401,128117547,41,Drug Store/Doctor's Office/Hospital,Credit Card/Automated Teller Machine Fraud
2020,154733414,128117552,7,Highway/Road/Alley/Street/Sidewalk,Theft of Motor Vehicle Parts or Accessories
2020,154733418,128117558,49,Convenience Store,Burglary/Breaking & Entering
2020,154738032,128121776,41,Other/Unknown,Credit Card/Automated Teller Machine Fraud
2020,154738031,128121776,63,Other/Unknown,Identity Theft
2020,154738037,128117570,5,Highway/Road/Alley/Street/Sidewalk,Destruction/Damage/Vandalism of Property
2020,154738043,128117577,14,Highway/Road/Alley/Street/Sidewalk,Theft From Motor Vehicle
2020,154738050,128117582,2,Other/Unknown,False Pretenses/Swindle/Confidence Game
