VICTIM_ID,INCIDENT_ID,VIC_AGE_NUM,VIC_SEX_CODE,VIC_ETHNICITY_NAME,VIC_RACE_DESC,VIC_AGE_CODE
144312654,131400114,35,M,Hispanic or Latino,White,AG
144312665,131400123,32,F,NA,Black or African American,AG
144312678,131400138,37,F,Not Hispanic or Latino,Black or African American,AG
144312693,131400154,27,F,Hispanic or Latino,White,AG
144314578,131401986,30,F,NA,Black or African American,AG
144312745,131400210,43,M,NA,Black or African American,AG
144312792,131400252,39,M,Hispanic or Latino,White,AG
144312795,131400258,56,M,Not Hispanic or Latino,Black or African American,AG
144312810,131400270,28,F,Not Hispanic or Latino,Black or African American,AG
144312832,131400287,49,F,Hispanic or Latino,White,AG
144314678,131400299,72,F,Not Hispanic or Latino,Asian,AG
144314697,131400321,NA,NA,NA,NA,NA
144312881,131400336,44,M,Not Hispanic or Latino,Black or African American,AG
144317924,131400369,36,M,Not Hispanic or Latino,Black or African American,AG
144314810,131402182,25,F,Unknown,Black or African American,AG
144314811,131402182,61,M,Not Hispanic or Latino,Black or African American,AG
144317993,131400426,NA,NA,NA,NA,NA
144318025,131400458,35,M,Not Hispanic or Latino,Black or African American,AG
144314850,131402217,39,F,NA,Black or African American,AG
144318039,131402225,49,M,Hispanic or Latino,White,AG
144314883,131402248,22,M,Not Hispanic or Latino,Black or African American,AG
144318066,131402255,74,F,NA,Black or African American,AG
144318098,131402281,39,M,Not Hispanic or Latino,Black or African American,AG
144314980,131402331,36,M,Not Hispanic or Latino,Black or African American,AG
144318177,131400598,42,F,NA,Black or African American,AG
144318178,131400598,NA,NA,NA,NA,NA
144314983,131400598,32,M,NA,Black or African American,AG
144318185,131400604,34,M,Not Hispanic or Latino,Black or African American,AG
144318186,131400605,NA,NA,NA,NA,NA
144318206,131400625,22,F,NA,Black or African American,AG
144314999,131400627,31,F,Not Hispanic or Latino,Black or African American,AG
144315004,131402353,46,F,Not Hispanic or Latino,White,AG
144318227,131400644,37,M,Not Hispanic or Latino,Black or African American,AG
144315019,131402367,1,M,NA,Black or African American,AG
144318237,131402367,34,F,NA,Black or African American,AG
144315022,131402373,NA,F,Not Hispanic or Latino,Black or African American,00
144315021,131402373,64,F,Not Hispanic or Latino,Black or African American,AG
144318257,131402379,27,F,Not Hispanic or Latino,Black or African American,AG
144315047,131402389,23,F,Not Hispanic or Latino,Black or African American,AG
144315067,131400698,45,M,Not Hispanic or Latino,Black or African American,AG
144318308,131400717,48,M,Not Hispanic or Latino,Black or African American,AG
144318315,131400723,NA,NA,NA,NA,NA
144315105,131402445,26,F,Not Hispanic or Latino,Black or African American,AG
144318359,131400762,50,M,Not Hispanic or Latino,Black or African American,AG
144318366,131400769,47,F,NA,Black or African American,AG
144315227,131402538,30,F,NA,Black or African American,AG
144315235,131402543,40,M,NA,White,AG
144318438,131402543,60,M,NA,White,AG
144315245,131402550,33,M,NA,Black or African American,AG
144315261,131402564,61,F,NA,Black or African American,AG
144315265,131402567,NA,NA,NA,NA,NA
144318462,131400865,NA,NA,NA,NA,NA
144318464,131400868,NA,NA,NA,NA,NA
144315307,131402608,NA,NA,NA,NA,NA
144318504,131402621,29,F,NA,Black or African American,AG
144315321,131400906,54,M,Hispanic or Latino,White,AG
144318539,131400925,43,F,Hispanic or Latino,White,AG
144318544,131400932,25,F,Not Hispanic or Latino,Black or African American,AG
144315366,131400963,24,M,Not Hispanic or Latino,Black or African American,AG
144315368,131400963,35,F,NA,White,AG
144315409,131400994,NA,NA,NA,NA,NA
144318632,131400994,24,F,Not Hispanic or Latino,Black or African American,AG
144315408,131400994,23,M,Not Hispanic or Latino,Black or African American,AG
144318633,131400994,23,M,NA,Black or African American,AG
144318634,131400994,24,F,NA,Black or African American,AG
144315426,131402713,39,F,Not Hispanic or Latino,Black or African American,AG
144315438,131401021,38,F,Hispanic or Latino,White,AG
144319980,131407135,76,F,Not Hispanic or Latino,Black or African American,AG
144319986,131407141,NA,NA,NA,NA,NA
144320015,131407170,37,M,Hispanic or Latino,White,AG
144320035,131407186,59,F,Not Hispanic or Latino,Black or African American,AG
144320062,131407210,NA,NA,NA,NA,NA
144316649,131407228,28,F,Not Hispanic or Latino,Black or African American,AG
144320122,131407247,36,M,Not Hispanic or Latino,Black or African American,AG
144320194,131407294,49,M,Not Hispanic or Latino,Black or African American,AG
144320219,131407319,40,M,Not Hispanic or Latino,Asian,AG
144320238,131403831,50,M,NA,Black or African American,AG
144320260,131403844,49,F,Not Hispanic or Latino,Black or African American,AG
144320273,131403848,NA,NA,NA,NA,NA
144320300,131403865,52,M,NA,Black or African American,AG
144316801,131407388,50,M,Not Hispanic or Latino,Black or African American,AG
144320309,131407392,NA,NA,NA,NA,NA
144320316,131407400,49,M,NA,Unknown,AG
144320339,131407425,NA,NA,NA,NA,NA
144320342,131407425,23,M,Hispanic or Latino,White,AG
144320440,131407510,40,F,Not Hispanic or Latino,White,AG
144320444,131407514,55,F,Not Hispanic or Latino,Black or African American,AG
144316903,131407520,27,F,Not Hispanic or Latino,Black or African American,AG
144320459,131407530,42,M,Hispanic or Latino,White,AG
144320473,131407538,31,F,Hispanic or Latino,White,AG
144320493,131407556,43,M,Not Hispanic or Latino,Black or African American,AG
144320496,131407560,35,F,Not Hispanic or Latino,Black or African American,AG
144316955,131403995,43,F,Not Hispanic or Latino,Black or African American,AG
144320561,131407610,18,F,NA,Black or African American,AG
144316996,131407616,NA,NA,NA,NA,NA
144320590,131407633,NA,NA,NA,NA,NA
144320595,131407639,39,M,Not Hispanic or Latino,Black or African American,AG
144320606,131407650,45,M,Not Hispanic or Latino,White,AG
144317035,131404072,NA,NA,NA,NA,NA
144320633,131407673,35,F,Hispanic or Latino,White,AG
144320647,131407682,44,M,NA,White,AG
144317179,131404202,27,F,Hispanic or Latino,White,AG
144320838,131404214,53,F,Not Hispanic or Latino,White,AG
144320841,131407865,NA,NA,NA,NA,NA
